Status_Code,URL,Message
200,https://www.texantool.com/store/Safety-and-Security/Spill-Control-Safety/Pallets,No error. No redirect.
200,https://www.texantool.com/store/Safety-and-Security/Heat-Stress-Protection/Activity-Drinks,No error. No redirect.
200,https://www.texantool.com/store/Hand-Tools/Pipe-Threading-Equipment/Tap-Wrenches,No error. No redirect.
200,https://www.texantool.com/store/Marking-Tools/Pencils,No error. No redirect.
200,https://www.texantool.com/store/Hand-Tools/Pullers-and-Sets/Pullers,No error. No redirect.
200,https://www.texantool.com/store/Foodservice-Supplies/Cooler-and-Chest-Parts-and-Accessories,No error. No redirect.
200,https://www.texantool.com/store/Pneumatics/Compressors-Blow-Guns-Hoses-and-Fittings/Blow-Guns,No error. No redirect.
200,https://www.texantool.com/store/Hand-Tools/Staplers-and-Riveters,No error. No redirect.
200,https://www.texantool.com/store/Welding-Supplies/Welding-and-Cutting-Accessories/Heat-Barriers,No error. No redirect.
200,https://www.texantool.com/store/Safety-and-Security/Eye-Protection/Safety-Goggles,No error. No redirect.
200,https://www.texantool.com/store/MRO-Supplies/Maintenance-and-Repair-Parts/Shim-Sets,No error. No redirect.
200,https://www.texantool.com/store/HVAC/Air-Cooling-Equipment/Fans,No error. No redirect.
200,https://www.texantool.com/store/Adhesives-Sealants-and-Tapes,No error. No redirect.
200,https://www.texantool.com/store/Welding-Supplies/Welding-and-Cutting-Accessories/Furnaces,No error. No redirect.
200,https://www.texantool.com/store/Hand-Tools/Pipe-Threading-Equipment/Groovers,No error. No redirect.
200,https://www.texantool.com/store/Safety-and-Security/Respiratory-Protection/Respirator-Fit-Testing,No error. No redirect.
200,https://www.texantool.com/store/Power-Tools/Cutting-Tools/Reciprocating-Saws,No error. No redirect.
200,https://www.texantool.com/store/Janitorial-Equipment/Mopping-Products/Mop-Heads,No error. No redirect.
200,https://www.texantool.com/store/Pneumatics/Compressors-Blow-Guns-Hoses-and-Fittings/Air-Hoses,No error. No redirect.
200,https://www.texantool.com/store/HVAC/Heating-Equipment/Infrared-and-Radiant-Heaters,No error. No redirect.
200,https://www.texantool.com/store/Safety-and-Security/Locking-Devices/Lock-Boxes,No error. No redirect.
200,https://www.texantool.com/store/Safety-and-Security/Traffic-Safety/Safety-Vests,No error. No redirect.
200,https://www.texantool.com/store/Material-Handling/Carts-and-Trucks/Cylinder-Cart-Parts-and-Accessories,No error. No redirect.
200,https://www.texantool.com/store/Electrical-Tools,No error. No redirect.
200,https://www.texantool.com/store/Safety-and-Security/Ear-Protection,No error. No redirect.
200,https://www.texantool.com/store/MRO-Supplies/Automotive-Maintenance-Products/Fiberglass-Repair-Kits,No error. No redirect.
200,https://www.texantool.com/store/Janitorial-Equipment/Waste-Receptacles,No error. No redirect.
200,https://www.texantool.com/store/Material-Handling,No error. No redirect.
200,https://www.texantool.com/store/Welding-Supplies/Welding-and-Cutting-Accessories/Plasma-Cutters,No error. No redirect.
200,https://www.texantool.com/store/Hand-Tools/Pipe-Threading-Equipment/Taps-and-Dies,No error. No redirect.
200,https://www.texantool.com/store/Marking-Tools/Markers,No error. No redirect.
200,https://www.texantool.com/store/Hand-Tools/Tool-Storage/Tool-Chests,No error. No redirect.
200,https://www.texantool.com/store/Hand-Tools/Tool-Storage,No error. No redirect.
200,https://www.texantool.com/store/Welding-Supplies/Welding-and-Cutting-Accessories/Spark-Lighter-and-Flints,No error. No redirect.
200,https://www.texantool.com/store/Janitorial-Equipment/Personal-Hygiene/Toilet-Seat-Covers,No error. No redirect.
200,https://www.texantool.com/store/Safety-and-Security/Head-Face-Protection,No error. No redirect.
200,https://www.texantool.com/store/Welding-Supplies/Welding-and-Cutting-Accessories/Water-Circulators-and-Coolants,No error. No redirect.
200,https://www.texantool.com/store/Material-Handling/Stands-and-Ramps,No error. No redirect.
200,https://www.texantool.com/store/Hand-Tools/Crimping-and-Stripping-Tools,No error. No redirect.
200,https://www.texantool.com/store/Hand-Tools/Pipe-Threading-Equipment/Pipe-Wrench-Parts-and-Accessories,No error. No redirect.
200,https://www.texantool.com/store/Welding-Supplies/Welding-and-Cutting-Accessories/Cable-Connectors-and-Lugs,No error. No redirect.
200,https://www.texantool.com/store/Pneumatics/Demolition-Tools/Pneumatic-Scaler-Parts-and-Accessories,No error. No redirect.
200,https://www.texantool.com/store/Material-Handling/Carts-and-Trucks/Utility-Carts,No error. No redirect.
200,https://www.texantool.com/store/Hand-Tools/Shears-Scissors-and-Snips/Shears-and-Scissors,No error. No redirect.
200,https://www.texantool.com/store/Welding-Supplies/Exothermic-Cutting,No error. No redirect.
200,https://www.texantool.com/store/MRO-Supplies/Tubing/Gage-Glass,No error. No redirect.
200,https://www.texantool.com/store/Janitorial-Equipment/Pails-and-Tubs,No error. No redirect.
200,https://www.texantool.com/store/Janitorial-Equipment/Mopping-Products/Squeegees,No error. No redirect.
200,https://www.texantool.com/store/Hand-Tools/Lawn-and-Garden-Tools,No error. No redirect.
200,https://www.texantool.com/store/Safety-and-Security/Traffic-Safety,No error. No redirect.
